ParentID,SampleID,FromMachineID,ToMachineID
SBH421575,SBH421575_N/C,999,1034
SBH421575,SBH421575_N/C,1034,999
SBH421575,SBH421575_N0/SAL097486,999,1004
SBH421576,SBH421576,-1,1006
SBH421576,SBH421576,1006,1011
SBH421576,SBH421576,1011,1012
SBH421576,SBH421576,1012,1011
SBH421576,SBH421576,1011,1013
SBH421576,SBH421576,1013,994
SBH421576,SBH421576_N,994,1009
SBH421576,SBH421576_N,1009,997
SBH421576,SBH421576_N,997,990
SBH421576,SBH421576_N,990,997
SBH421576,SBH421576_N,997,998
SBH421576,SBH421576_N,998,997
SBH421576,SBH421576_N,997,1019
SBH421576,SBH421576_N/C,1019,1000
SBH421576,SBH421576_N/C,1000,999
SBH421576,SBH421576_N/C,999,1034
SBH421576,SBH421576_N/C,1034,999
SBH421576,SBH421576_N0/SAL097410,999,1004
SBH421576,SBH421576_N0/SAL097410,1004,999
SBH421576,SBH421576_N0/SAL097410,999,1035
SBH421576,SBH421576_N0/SAL097410,1035,1030
SBH421576,SBH421576_N0/SAL097410,1030,1035
SBH421576,SBH421576_N0/SAL097410,1035,999
SBH421577,SBH421577,-1,1007
SBH421577,SBH421577,1007,1016
SBH421577,SBH421577,1016,1017
SBH421577,SBH421577,1017,1016
SBH421577,SBH421577,1016,1018
SBH421577,SBH421577,1018,995
SBH421577,SBH421577_N,995,1014
SBH421577,SBH421577_N,1014,997
SBH421577,SBH421577_N,997,992
SBH421577,SBH421577_N,992,997
SBH421577,SBH421577_N,997,1028
SBH421577,SBH421577_N,1028,997
SBH421577,SBH421577_N,997,998
SBH421577,SBH421577_N,998,997
SBH421577,SBH421577_N,997,1009
SBH421577,SBH421577_N/C,1009,1000
SBH421577,SBH421577_N/C,1000,999
SBH421577,SBH421577_N/C,999,1034
SBH421577,SBH421577_N/C,1034,999
SBH421577,SBH421577_N0/SAL097406,999,1004
SBH421577,SBH421577_N0/SAL097406,1004,999
SBH421577,SBH421577_N0/SAL097406,999,1035
SBH421577,SBH421577_N0/SAL097406,1035,1030
SBH421577,SBH421577_N0/SAL097406,1030,1035
SBH421577,SBH421577_N0/SAL097406,1035,999
SBH421578,SBH421578,-1,1007
SBH421578,SBH421578,1007,1016
